ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
122 Grange Street ,"$795,000",['Sold on Oct 20 2021'],"$770,000",41,4,-,1500-2000,100+ years,Bungalow,Full,2020,376000,2021,4296.21,97,66.48,713340096,Central East,ResidentialProperty,43.5538623,-80.239234
122 Yorkshire Street North ,"$850,000",['Sold on Jun 25 2021'],"$835,000",34,4,-,-,-,2-Storey,Full,2021,409000,2020,4592,72,39.89,712890083,Central West,ResidentialProperty,43.54230634,-80.25805894
124 Glasgow Street North ,"$1,249,900",['Sold on May 10 2021'],"$1,525,000",6,4,2,2500-3000,6-15 years,2-Storey,Finished,2021,613000,2021,6883.02,102.91,50,712910200,Exhibition Park,ResidentialProperty,43.5449532,-80.2575799
124 Kortright Road West ,"$628,888",['Sold on May 06 2021'],"$736,888",7,3,5,1500-2000,-,2-Storey,Finished,-,-,2020,4558,109.91,49.77,-,Kortright Hills,ResidentialProperty,43.51605241,-80.21737589
125 Arthur Street North ,"$599,000",['Sold on Jun 18 2021'],"$640,000",8,2,-,700-1100,51-99 years,Bungalow,Crawl Space,-,-,2020,4839.45,-,89,713220029,Central East,ResidentialProperty,43.5495298,-80.2488414
126 Arthur Street North ,"$849,900",['Sold on Jun 07 2021'],"$975,669",6,1,-,1500-2000,100+ years,2-Storey,Full,-,-,2021,5431,159,33,-,Exhibition Park,ResidentialProperty,43.54928764,-80.249102
126 Ironwood Drive ,"$698,000",['Sold on Nov 13 2021'],"$695,000",16,3,-,-,-,2-Storey,Finished,-,-,2021,3347.84,71,50,-,Grange Hill East,ResidentialProperty,-,-
127 Ironwood Road ,"$680,000",['Sold on Jun 04 2021'],"$675,000",28,3,2,1100-1500,-,2-Storey,Finished,-,-,2020,3727.84,112.56,29.86,-,Hanlon Creek,ResidentialProperty,43.51490927,-80.23251394
127 Kingsmill Avenue ,"$599,900",['Sold on Jul 02 2021'],"$645,000",9,2,1,700-1100,100+ years,1 1/2 Storey,Full,2021,287000,2020,3279.29,78.33,30,712370492,Two Rivers,ResidentialProperty,43.54879657,-80.22468981
127 Ptarmigan Drive ,"$775,000",['Sold on Aug 30 2021'],"$785,100",13,3,-,1100-1500,-,2-Storey,Part Fin,-,-,2021,4261.93,170.6,32.15,714890109,Kortright Hills,ResidentialProperty,43.50417768,-80.24623548
13 Durham Street ,"$1,150,000",['Sold on Jul 16 2021'],"$1,100,000",16,4,-,1500-2000,100+ years,2-Storey,Full,2021,507000,2021,5793,104,74,712880135,Central West,ResidentialProperty,43.5425746,-80.2528742
13 Peter Avenue ,"$599,900",['Sold on May 04 2021'],"$762,500",6,2,-,700-1100,51-99 years,1 1/2 Storey,Full,-,-,2021,3593,92,53,-,Waverley,ResidentialProperty,43.55987821,-80.26072053
130 Alice Street ,"$509,900",['Sold on Aug 31 2021'],"$576,000",7,3,-,-,-,Bungalow,Full,-,-,2021,2879.38,105.25,33.01,713420160,Central East,ResidentialProperty,43.54808825,-80.23570554
130 Arthur Street North ,"$1,124,000",['Sold on Nov 16 2021'],"$1,229,000",11,2,1,1100-1500,100+ years,Bungalow,Fin W/O,2021,558000,2021,6375.75,159,45,713360011,Two Rivers,ResidentialProperty,43.54930758,-80.2493251
137 Country Club Drive ,"$649,900",['Sold on Sep 22 2021'],"$830,000",6,2,1,700-1100,-,Bungalow,Finished,-,-,2021,3667.77,115,55,-,Two Rivers,ResidentialProperty,43.5738636,-80.26916683
137 Rodgers Road ,"$599,900",['Sold on Nov 15 2021'],"$732,000",5,3,-,1100-1500,16-30 years,2-Storey,Full,2021,361000,2021,4124.82,-,26,714900875,Hanlon Creek,ResidentialProperty,43.511621,-80.217165
138 Downey Road ,"$1,149,000",['Sold on Jul 15 2021'],"$1,130,000",7,4,-,2000-2500,31-50 years,2-Storey,Finished,2021,523000,2021,5976,138,59,712190044,Kortright Hills,ResidentialProperty,43.49865143,-80.23498455
14 Collingwood Street ,"$699,900",['Sold on Oct 09 2021'],"$735,000",2,3,-,-,-,1 1/2 Storey,Finished,2021,329000,2021,3759.18,110,52,713080137,Waverley,ResidentialProperty,43.56638655,-80.26383832
14 Emeny Lane ,"$1,599,000",['Sold on Aug 21 2021'],"$1,400,000",96,4,1,3000-3500,New,2-Storey,W/O,-,-,2021,9038.04,83.67,57.15,-,Kortright Hills,ResidentialProperty,43.5180321,-80.2013607
14 Forster Drive ,"$1,299,000",['Sold on May 07 2021'],"$1,485,000",8,5,-,2500-3000,31-50 years,2-Storey,Finished,2021,708000,2021,7958,125,62,715050204,Village,ResidentialProperty,43.525669,-80.21081
14 Hollyberry Place ,"$839,900",['Sold on May 06 2021'],"$960,069",6,3,-,1500-2000,31-50 years,2-Storey,Full,2021,449000,2020,5041.56,106,35.53,712540607,Parkwood Gardens,ResidentialProperty,43.52172,-80.2814762
14 Laurine Avenue ,"$449,900",['Sold on Aug 25 2021'],"$550,000",6,2,-,700-1100,-,Bungalow,Sep Entrance,-,-,2020,2728.51,104,35.01,-,Two Rivers,ResidentialProperty,43.5548233,-80.2416867
14 Lockyer Road ,"$1,200,000",['Sold on Jul 13 2021'],"$1,350,000",5,5,-,2000-2500,51-99 years,2-Storey,Full,2021,587000,2021,6707.11,150,83.99,-,Old University,ResidentialProperty,43.5276286,-80.2467508
14 Primrose Lane ,"$869,000",['Sold on Jul 29 2021'],"$940,000",3,4,-,1500-2000,16-30 years,Backsplit 4,Finished,2021,428000,2021,4805.77,-,51.91,712630041,West Willow Woods,ResidentialProperty,43.5337356,-80.291963
14 Truesdale Crescent ,"$799,900",['Sold on Jun 15 2021'],"$800,000",19,5,-,1100-1500,-,2 1/2 Storey,Full,-,-,2020,4210.66,103.77,30.18,-,Hanlon Creek,ResidentialProperty,43.51348346,-80.2092308
