ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
6 MALLARD COURT,849900,29-Jul-21,905000,6,3,1,1500,30,2-Storey,Finished,2021,418000,2021,4776.1,120,34,712150038,Kortright Hills,ResidentialProperty,43.49911764,-80.24124779
6 PRINCETON PLACE,850000,20-Sep-21,1138000,7,4,,2000,50,2-Storey,Finished,2021,603000,2021,6889.93,111.55,66.44,-,Kortright Hills,ResidentialProperty,43.5206228,-80.22746289
6 QUAIL CREEK DRIVE,999900,11-May-21,1150000,5,3,1,,,2-Storey,Fin W/O,,,2020,5513,123,53,-,Kortright Hills,ResidentialProperty,43.4991225,-80.2348544
6 WATT STREET,659900,01-Sep-21,676500,7,3,,,30,2-Storey,Full,2021,317000,2021,3800,114.62,38.25,713460149,Grange Hill East,ResidentialProperty,43.56817771,-80.23690111
6 WOLFOND CRESCENT,1299000,18-May-21,1280000,7,1,2,1500,99,Sidesplit 3,Finished,2021,573000,2021,6433.88,100,70.01,712390024,Old University,ResidentialProperty,43.53458004,-80.24336473
60 DUBLIN STREET NORTH,599900,14-May-21,620000,10,3,,700,100,1 1/2 Storey,Full,2021,350000,2021,3929.95,,38,-,Central West,ResidentialProperty,43.54312085,-80.25296135
60 KORTRIGHT ROAD EAST,1299900,18-Jun-21,1332500,2,2,2,2000,,Bungaloft,Finished,2021,676000,2021,7724.04,125,61,-,Guelph South,ResidentialProperty,43.52636808,-80.20847903
61 DEAN AVENUE,1750000,25-Oct-21,1675000,65,4,,2500,5,2-Storey,Unfinished,,,2021,,56.5,135,-,Old University,ResidentialProperty,43.5315152,-80.2409381
61 DOWNEY ROAD,1299900,01-Jun-21,1290000,5,3,2,2000,50,2-Storey,Apartment,2021,518000,2020,5918,151,58,-,Kortright Hills,ResidentialProperty,43.50310733,-80.23944389
614 WOOLWICH STREET,699900,06-Oct-21,860000,7,4,,1100,100,2-Storey,Part Fin,,,2021,3930.57,109.2,42.09,-,Exhibition Park,ResidentialProperty,43.55757648,-80.26730944
62 BOND COURT,824900,27-Jun-21,970000,4,3,1,1500,30,2-Storey,Apartment,,,2021,5495.95,165,24,-,West Willow Woods,ResidentialProperty,43.53477145,-80.29842083
62 CAMBRIDGE STREET,899900,20-Sep-21,951000,10,4,,2000,100,2-Storey,Part Bsmt,,,2021,5165,106.08,50,712880028,Central West,ResidentialProperty,43.54220099,-80.2570069
62 GALT STREET,649900,25-Aug-21,645000,7,3,1,1100,100,1 1/2 Storey,Finished,2021,299000,2021,3416,,30,-,Onward Willow,ResidentialProperty,43.5362445,-80.256526
62 GUELPH STREET,779900,28-Jul-21,780000,20,3,,1100,99,Bungalow,Finished,2021,411000,2020,4614.88,201.98,66.01,712750118,Onward Willow,ResidentialProperty,43.5400395,-80.27004144
62 KEATING STREET,1020000,13-Aug-21,1000000,9,4,,2000,0,2-Storey,Unfinished,,,2021,,100,30,-,Grange Hill East,ResidentialProperty,43.5663365,-80.2182068
62 MCARTHUR DRIVE,899999,15-May-21,1090000,1,4,,,,2-Storey,Finished,,,2020,6900,109.91,39.04,711862197,Pine Ridge,ResidentialProperty,43.50848471,-80.18284059
63 ALGOMA DRIVE,649900,19-Jul-21,630000,24,3,,,,Bungalow,Full,,,2021,3782.04,122.63,49.81,-,Brant,ResidentialProperty,43.57852157,-80.25689939
63 CHILLICO DRIVE,899900,02-Nov-21,1125000,7,4,1,,30,2-Storey,Finished,2016,423000,2021,4581.86,,27.33,714860324,West Willow Woods,ResidentialProperty,43.52867803,-80.3059353
63 DERRY STREET,1575000,10-Nov-21,1525000,7,4,,2500,100,2-Storey,Full,,,2021,8440,112.2,55.42,-,Waverley,ResidentialProperty,43.5535056,-80.2515404
63 DOYLE DRIVE,849900,30-Oct-21,865000,1,3,,1100,30,2-Storey,Finished,2021,393000,2020,4256.01,107,30,714920688,Clairfields,ResidentialProperty,43.4980872,-80.1936214
63 LAMBERT CRESCENT,779900,22-Jul-21,775000,16,4,,1100,50,2-Storey,Full,,,2021,4353,60,115,-,Old University,ResidentialProperty,43.514012,-80.24932
63 LYON AVENUE,849900,26-Oct-21,928500,5,3,,1500,99,2 1/2 Storey,Full,2021,457000,2021,5222,114,50,712980165,Exhibition Park,ResidentialProperty,43.548453,-80.264205
632 WOOLWICH STREET,829900,28-Nov-21,800000,25,4,,,,2 1/2 Storey,Full,,,2021,4993,105,53.34,-,Exhibition Park,ResidentialProperty,43.5658477,-80.2779014
64 ARTHUR STREET NORTH,999000,08-Nov-21,1175000,11,4,,3000,100,2-Storey,Full,,,2021,8123.95,123,66,-,Central East,ResidentialProperty,43.5487989,-80.24539633
64 LAUGHLAND LANE,1000000,27-Aug-21,1025900,6,4,1,2000,15,2-Storey,Full,2020,543000,2020,6097.03,109.91,36.09,-,Pine Ridge,ResidentialProperty,43.51078798,-80.17662548
64 MILSON CRESCENT,1149999,05-Nov-21,1140000,30,4,,2000,30,2-Storey,Finished,,,2021,6135.81,114.83,39.37,-,Kortright Hills,ResidentialProperty,43.50104103,-80.22961257
65 BEAVER MEADOW DRIVE,1199000,05-Jul-21,1210000,10,6,,2000,,2-Storey,Fin W/O,,,2021,6547.15,115,36,-,Pine Ridge,ResidentialProperty,43.50822106,-80.18541193
65 GIBBS CRESCENT,899900,08-Jun-21,1035000,5,3,1,2000,30,2-Storey,Finished,,,2020,5609.19,110,41,714920438,Clairfields,ResidentialProperty,43.49953205,-80.19634967
65 HASLER CRESCENT,1129000,02-Dec-21,1140000,8,4,1,2000,15,2-Storey,Finished,2016,516000,2021,5800.52,114.83,30.97,711862275,Pine Ridge,ResidentialProperty,43.5204141,-80.18819847
65 IMPERIAL ROAD NORTH,879900,10-May-21,849000,21,3,1,2000,50,Sidesplit 3,Full,2021,456000,2021,5200.78,,56,-,West Willow Woods,ResidentialProperty,43.52980108,-80.29325908
65 MOHAWK DRIVE,574900,07-Dec-21,685000,8,3,,700,99,Bungalow,Finished,,,2021,3634,57,110,-,Brant,ResidentialProperty,43.5763534,-80.2533824
65-67 ONTARIO STREET,648000,13-May-21,648000,15,4,,1100,100,2-Storey,Full,2021,289000,2020,3245.01,132,27.99,713400037,Two Rivers,ResidentialProperty,43.54462628,-80.2378278
653 GRANGE ROAD,1100000,14-Jun-21,1100000,,4,,2000,15,2-Storey,Full,2021,521000,2021,5850,111,40,713560211,Grange Hill East,ResidentialProperty,43.57541745,-80.2161629
66 MILSON CRESCENT,999999,13-Aug-21,1100000,11,4,,2000,30,2-Storey,Full,,,2021,6068,114.83,39.37,-,Kortright Hills,ResidentialProperty,43.50113154,-80.22974035
66 REVELL DRIVE,849000,28-Apr-21,900000,6,4,,1500,15,2 1/2 Storey,Full,,,2020,5209.99,133,26.81,714921286,Guelph South,ResidentialProperty,43.50975904,-80.19745776
66 WESTERN AVENUE,799900,24-Oct-21,960000,6,4,1,,,Backsplit 3,Finished,,,2021,4787.53,107,54,-,Onward Willow,ResidentialProperty,43.54036767,-80.27367825
66 WOODLAND GLEN DRIVE,799900,29-Jun-21,902250,6,3,,2000,50,2-Storey,Finished,,,2021,5621.64,127,56,-,Kortright Hills,ResidentialProperty,43.50725441,-80.24118745
661 WOOLWICH STREET,685000,01-Nov-21,640000,18,2,,,,Bungalow,Part Fin,2021,267000,2021,3050.8,,35,-,Waverley,ResidentialProperty,43.5592867,-80.2691574
67 HAYWARD CRESCENT,899900,03-May-21,900000,6,5,,2000,30,2-Storey,Apartment,2021,515000,2020,5783,105,55,714920154,Clairfields,ResidentialProperty,43.4973412,-80.1991127
67 KING STREET,1249900,17-May-21,1350000,6,3,,2500,30,2-Storey,Finished,2021,850000,2021,10021.33,159.39,50,-,Central East,ResidentialProperty,43.55075265,-80.24956047
67 ST. ARNAUD STREET,879900,19-Nov-21,850000,16,2,2,1500,99,2-Storey,Unfinished,2021,379000,2021,4330,100,50,-,Onward Willow,ResidentialProperty,43.53425252,-80.25879926
68 BAGOT STREET,799000,09-Aug-21,800002,81,6,,2000,100,1 1/2 Storey,Crawl Space,2016,384000,2020,4311,132,88.5,712770009,Onward Willow,ResidentialProperty,43.54127812,-80.26697468
68 DUMBARTON STREET,599900,03-Nov-21,805000,7,3,1,700,99,Bungalow,Finished,2021,339000,2021,3873.44,120,60.01,713060030,Waverley,ResidentialProperty,43.57201667,-80.25800603
